longitude,latitude,CanopyCover,Aspect,Elevation,SlopeD,CanopyBulkDensity,CanopyBaseHeight,CanopyHeight,40FireBehaviorFuel,PopDensity,BuildingDensity,HUDen
-117.3110745,47.78423938,0.0,-1.0,573.0,0.0,0.0,0.0,0.0,93.0,0.0,0.0,0.0
-117.3024891,47.90127845,35.0,-1.0,590.0,0.0,6.0,10.0,35.0,162.0,0.0,0.0,0.0
-117.6114448,47.60992068,0.0,-1.0,724.0,1.0,0.0,0.0,0.0,122.0,28.0,25.0,9.0
-117.453111,47.68402391,0.0,-1.0,572.0,1.0,0.0,0.0,0.0,91.0,2084.0,1208.0,862.0
-117.638031,47.57192301,35.0,317.0,749.0,21.0,6.0,9.0,35.0,142.0,5.0,8.0,3.0
-117.5930232,47.40293292,25.0,-1.0,701.0,1.0,6.0,3.0,25.0,183.0,0.0,0.0,0.0
-117.5125932,47.77503007,65.0,351.0,508.0,29.0,16.0,6.0,65.0,165.0,38.0,24.0,14.0
-117.3403545,47.38926508,0.0,-1.0,769.0,0.0,0.0,0.0,0.0,93.0,0.0,0.0,0.0
-117.5551377,47.52631075,0.0,-1.0,742.0,1.0,0.0,0.0,0.0,121.0,25.0,24.0,7.0
-117.0851351,47.72190118,0.0,163.0,668.0,7.0,0.0,0.0,0.0,122.0,68.0,49.0,26.0
-117.8015209,47.55655829,35.0,-1.0,743.0,2.0,6.0,24.0,35.0,162.0,12.0,16.0,5.0
-117.3807568,47.91954584,35.0,80.0,608.0,7.0,6.0,9.0,35.0,142.0,0.0,0.0,0.0
-117.4909683,47.39724801,0.0,-1.0,723.0,0.0,0.0,0.0,0.0,122.0,0.0,0.0,0.0
-117.1422723,47.68321368,0.0,-1.0,618.0,0.0,0.0,0.0,0.0,102.0,373.0,185.0,121.0
-117.5425214,47.68656451,0.0,-1.0,678.0,2.0,0.0,0.0,0.0,91.0,7.0,8.0,3.0
-117.4619438,47.53809037,35.0,-1.0,721.0,1.0,6.0,10.0,35.0,162.0,70.0,65.0,30.0
-117.1753498,47.5895505,0.0,346.0,734.0,5.0,0.0,0.0,0.0,91.0,0.0,0.0,0.0
-117.2028494,47.73646722,0.0,39.0,744.0,4.0,0.0,0.0,0.0,93.0,38.0,32.0,16.0
-117.5331701,47.83642415,45.0,22.0,720.0,7.0,8.0,3.0,45.0,188.0,30.0,24.0,8.0
-117.7177849,47.30231609,0.0,-1.0,641.0,1.0,0.0,0.0,0.0,123.0,0.0,0.0,0.0
-117.2702244,47.43046033,0.0,189.0,632.0,10.0,0.0,0.0,0.0,98.0,0.0,0.0,0.0
-117.6157863,47.63490515,25.0,-1.0,734.0,1.0,6.0,8.0,25.0,122.0,0.0,0.0,0.0
-117.526591,47.78771748,35.0,260.0,512.0,34.0,9.0,16.0,35.0,122.0,21.0,18.0,5.0
-117.3538533,47.29185017,0.0,-1.0,669.0,0.0,0.0,0.0,0.0,102.0,0.0,0.0,0.0
-117.3330048,47.29470765,0.0,291.0,744.0,6.0,0.0,0.0,0.0,93.0,0.0,0.0,0.0
