fid,LATITUDE,LONGITUDE,CanopyCover,Aspect,Elevation,SlopeD,CanopyBulkDensity,CanopyBaseHeight,CanopyHeight,40FireBehaviorFuel,PopDensity,BuildingDensity,HUDen
778168,47.4962,-117.5641,0,146,712,4,0,0,0,123,482,146,205
778169,47.5114,-117.5438,0,-1,714,1,0,0,0,121,0,0,0
778170,47.4941,-117.5778,0,-1,740,0,0,0,0,91,1802,487,942
778171,47.502,-117.555,45,-1,715,1,8,9,45,183,15,16,7
778172,47.477,-117.581,0,-1,705,2,0,0,0,91,37,32,14
778173,47.463,-117.582,35,-1,712,0,9,3,35,162,0,0,0
778174,47.481,-117.561,35,175,706,4,6,10,35,162,6,8,1
778175,47.4668,-117.5864,35,-1,703,2,9,4,35,183,0,0,0
778176,47.5011,-117.5323,0,-1,707,1,0,0,0,142,9,8,3
778177,47.5033,-117.5561,0,-1,721,2,0,0,0,91,53,57,27
778178,47.461,-117.529,0,-1,705,2,0,0,0,91,0,0,0
778179,47.5148,-117.529,45,-1,690,2,8,12,45,188,36,32,16
778180,47.5206,-117.5289,35,152,742,8,6,10,35,162,56,49,23
778181,47.47597,-117.5776,0,-1,702,1,0,0,0,103,10,8,4
778182,47.49607,-117.5621,0,-1,708,0,0,0,0,91,0,16,0
778183,47.47743,-117.5754,45,119,711,4,8,13,45,183,0,0,0
778184,47.46248,-117.5334,35,283,704,4,6,8,35,183,0,0,0
778185,47.478514,-117.535773,35,260,713,6,6,37,35,162,0,0,0
778186,47.50301,-117.5384,35,334,694,5,9,4,35,183,0,0,0
778187,47.52439,-117.5595,35,-1,745,0,9,3,35,162,62,65,25
778188,47.48396,-117.5764,35,-1,711,2,9,3,35,183,351,211,160
778189,47.52930612,-117.565914,0,-1,745,2,0,0,0,91,37,32,13
778190,47.38055556,-117.5,0,-1,727,1,0,0,0,102,0,0,0
778191,47.3911,-117.4882,0,336,723,4,0,0,0,91,18,32,9
778192,47.4,-117.5,0,-1,714,0,0,0,0,102,0,0,0
778193,47.4002,-117.5243,0,-1,705,2,0,0,0,102,0,0,0
778194,47.4045,-117.4885,0,-1,721,0,0,0,0,91,27,32,10
778195,47.4083,-117.4944,0,-1,723,2,0,0,0,122,0,0,0
778196,47.4197,-117.5243,35,-1,695,1,6,8,35,183,0,0,0
778197,47.4206,-117.5155,0,-1,699,0,0,0,0,141,0,0,0
778198,47.4274,-117.4891,35,-1,708,2,9,3,35,183,0,0,0
778199,47.4274,-117.4811,35,41,719,3,6,10,35,162,0,0,0
778200,47.4281,-117.5243,35,-1,705,0,6,24,35,162,0,0,0
778201,47.4286,-117.5243,35,-1,706,1,6,37,35,162,0,0,0
778202,47.43271,-117.50667,35,282,708,3,6,24,35,162,0,0,0
